"nome","resumo","coordenador"
"PROJETO CAMINHOS GEOLÓGICOS - DIVULGAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO GEOLÓGICO DO ESTADO DO RIO DE JANEIRO – A PARTICIPAÇÃO DA UERJ","A proposta do projeto caminhos geológicos na uerj (pcguerj) é divulgar e preservar o patrimônio natural através de geoturismo e geoconservação incentivando o desenvolvimento sócio-econômico através da geologia e geomorfologia local. O pcguerj produz painéis interpretativos que apresentam resultados de ensino e pesquisa em geologia regional a nível de graduação e pós-graduação na faculdade de geologia da uerj. O projeto: a) elabora sinalização geológica de geossítios e sítios de geodiversidade e georroteiros em trilhas e estradas; b) atua em geoconservação de pavimentos de pedra em estradas antigas e outros tipos de patrimônio cultural construido; c) analisa aspectos petrográficos e estruturais da geodiversidade em diversos ambientes geológicos; d) produz mapas de geodiversidade a avalia riscos geológicos em unidades de conservação; e) prepara materiais didáticos e ministra cursos para educação de jovens e adultos em geociências. A equipe do pcguerj participa da assessoria científica e da gestão compartilhada do projeto costões e lagunas do rj e da proposição de novos geoparques.","Miguel Antonio t Araujo Souza"
"LABSEM - LABORATORIO MULTIDISCIPLINAR DE SEMIOTICA","Projeto multidisciplinar para estudos pesquisas produções de identidade visual de eventos e material divulgacional. Funciona como ponto de apoio e recepção de convidados dos eventos articulados ao labsem uma vez que propicia o acesso à web sem interferir nas rotinas do ile. Com suporte na semiótica congrega a princípio docentes do ile e da ffp (ceh) e da esdi (ctc) para promoção do diálogo entre áreas e subáreas unidas pelo eixo temático linguagens códigos e tecnologias de produção da comunicação e do design. Oportunidade de trabalho multidisciplinar para alunos de graduação e pós-graduação. O labsem é articulável com projetos de ic id eic monitoria extensão e ped entre outros além de alimentar pela discussão transdisciplinar outros e variados projetos em desenvolvimento nas unidades envolvidas ou mesmo fora delas. A semiótica é a ciência de base multidisciplinar para o labsem não só por abrigar diversas correntes teóricas mas sobretudo por ser uma ciência englobante que acolhe ao longo de sua história estudos e pesquisas em múltiplas áreas especialmente nas que se cruzam neste projeto. O projeto labsem nasceu (por meio de apq1/2008) como resposta a demandas relativas à utilização de espaço e equipamentos. Estão articulados neste laboratório como elementos primeiros na proposição organização e realização de atividades os seguintes projetos: publicações dialogarts (extensão); sepel.Uerj (extensão); entre outros projetos e subprojetos que a estes se vinculem. Pretende-se que o labsem se torne uma matriz de geração de recursos humanos para pesquisa e ensino nas áreas subáreas e especialidades contempladas no projeto especialmente preparados para o trabalho em equipe para as trocas teórico-práticas multidisciplinares para o entendimento da provisoriedade e da incompletude da ciência buscando por fim atuar em projetos de educação à distância.","Claudia Moura Da Rocha"
"PROJETO ACADÊMICO PARA EMPRESA JÚNIOR DE ENGENHARIA HIDROS CONSULTORIA","A hidros consultoria é uma empresa júnior de engenharia da universidade do estado do rio de janeiro criada em 1998 sediada na faculdade de engenharia designada como “hidros consultoria- empresa junior de engenharia da uerj” cnpj: 03.334.068/0001-03 – data de abertura: 03/05/1999 inserida no pool de empresas catalogadas no inov uerj há 12 anos. As finalidades da empresa são: apresentar aos estudantes de engenharia um ambiente profissional já dentro da universidade antes de entrarem em um mercado de trabalho. Através do ar empresarial o desenvolvimento de projetos e a prestação de serviços são preferencialmente dirigidos para micro e pequenas empresas e para o terceiro setor em funcionamento ou em fase de abertura ou ainda para pessoas físicas visando o desenvolvimento da sociedade; além de prestar serviços nas nove áreas de engenharia oferecidas pela fen também atua em cursos oferecidos pela própria hidros em eventos de avaliação dos resultados da empresa na formulação do planejamento estratégico e na elaboração de metas. Nos encontros promovidos apenas para os componentes da empresa é oferecida uma programação abrangente incluindo o balanço de atividades a verificação dos resultados o estabelecimento das metas e a escolha das estratégias para o alcance dos resultados esperados.","Roberto Bressan Nacif"
"PROJETO MINI BAJA IPRJ BAJA SAE INSERINDO E MOTIVANDO O APRENDIZADO DA ENGENHARIA ENTRE OS JOVENS DA COMUNIDADE FRIBURGUENSE E REGIÃO","O instituto politécnico da universidade do estado do rio de janeiro (iprj/uerj) localizado em nova friburgo desenvolve atualmente atividades de graduação (engenharia mecânica e engenharia da computação) pós-graduação (ciência e tecnologia de materiais e modelagem computacional) pesquisa e extensão. O instituto politécnico tem como objetivo principal promover o desenvolvimento científico e tecnológico através da produção de conhecimento e formação de profissionais capazes de atender às necessidades de modernização da região em que está inserido do estado do rio de janeiro e do país. O projeto mini-baja iprj baja sae teve início no ano de 1997 tendo participado de sua primeira competição em 1999 v competição sae brasil petrobrás de mini-baja. Desde então a equipe integrada por alunos do curso de engenharia mecânica vem conseguido com muito esforço participado de todas as competições nacionais. Mais de 250 alunos já participaram do projeto. Apesar da dedicação e horas incontáveis de trabalho voluntário por parte dos estudantes que almejam apenas a realização pessoal e profissional o projeto e a construção de um mini-baja requer recursos que podem estar tanto na forma de material equipamentos e capital quanto principalmente na forma de recursos humanos capazes de atuar não apenas na execução do protótipo mas também na divulgação e aproximação das atividades para o conhecimento da comunidade local divulgando em palestras escolares encontros e demais eventos de caráter educacional ou profissional a atuação deste belo projeto que a muito tempo vem motivando os jovens da região por atuar nas áreas de engenharia. Trata-se de um projeto multidisciplinar com a participação/integração de professores alunos de graduação e pós graduação da universidade alunos externos colaboradores e patrocinadores além de diversos outros setores públicos e privados da comunidade local.","Damiano Da Silva Militao"
"IMPLEMENTAÇÃO DE UM MODELO AUTOMÁTICO DE PLUVIÔMETRO CONCEBIDO E PROGRAMADO PARA ALERTA E FORNECIMENTO DE DADOS EM COMUNIDADES DE RISCO NA REGIÃO SERRANA DO ESTADO DO RIO DE JANEIRO","O projeto ""implementação de um modelo automático de pluviômetro para alerta e fornecimento de dados em comunidades de risco na região serrana do rio de janeiro"" visa desenvolver e instalar dispositivos de baixo custo energeticamente autossuficientes capazes de monitorar índices pluviométricos e emitir alertas em situações de risco. A iniciativa coordenada pelo instituto politécnico da uerj tem como objetivo geral contribuir para a segurança de comunidades vulneráveis a desastres naturais além de fornecer dados para pesquisas ambientais e minerais. A fundamentação teórica baseia-se em engenharia mecânica e computacional com ênfase em microcontroladores sensores e comunicação sem fio. O público-alvo inclui moradores de zonas rurais e áreas de risco além de alunos de graduação e pós-graduação em engenharia que participam ativamente do desenvolvimento e implementação do projeto. A metodologia abrange desde a pesquisa tecnológica e construção dos dispositivos até testes de campo e integração com órgãos públicos como a defesa civil e o cemaden. Os resultados esperados incluem a instalação de estações pluviométricas funcionais a criação de uma rede de dados em tempo real e a redução de danos humanos e materiais em eventos climáticos extremos. O projeto também busca fomentar a formação técnica e empreendedora dos estudantes envolvidos.","Damiano Da Silva Militao"
"LABORATÓRIO SOCIOAMBIENTAL DE ENGENHARIA CIVIL ARQUITETURA E URBANISMO – LSECAU","O presente projeto de extensão apresenta como foco de interesse principal a criação de um laboratório socioambiental de engenharia civil arquitetura e urbanismo (lsecau) na uerj com a configuração de um escritório modelo vinculado a faculdade de engenharia – dcct/fen/uerj. Assim a proposta do projeto de extensão é desenvolver uma participação discente expressiva na execução de estudos e elaborações de projetos e pesquisas de cunho socioambiental colaborando para o ensino a pesquisa e a extensão ao garantir uma vivência profissional complementar aproximando os alunos à realidade do mercado profissional. O lsecau conta com uma estrutura transdisciplinar buscando a partir de um atravessamento de saberes o desenvolvimento de mapeamentos e estudos tecnológicos para qualificação de construções de interesse social. Desta forma o lsecau pretende detectar potenciais e construir parcerias em comunidades carentes associações de moradores instituições beneficentes entre outros e também com profissionais que atuem informalmente em suas comunidades buscando o mapeamento e as investigações técnicas sobre os saberes construtivos autóctones encontrados nas comunidades ou grupos pesquisados e construindo possíveis parcerias que busquem aprimoramento. Tomaremos como base para as parcerias e serviços a aplicação da lei 11.888 de 24 de dezembro de 2008. Esta lei federal garante assistência técnica gratuita para famílias de baixa renda prestada por profissionais habilitados tecnicamente nos campos da arquitetura urbanismo e engenharia para projetos de construções e moradia para famílias com renda mensal de até três salários mínimos. Dentre os grupos habilitados para prestação dos serviços estão descritos os profissionais vinculados aos “programas de extensão universitária por meio de escritórios-modelo”.","André Luiz Carvalho Cardoso"
"ESTATÍSTICA SEM FRONTEIRAS","Com a popularização cada vez maior das tecnologias de informação e comunicação (tic) vivemos numa nova economia do conhecimento e na cibercultura que caracteriza a sociedade pós-moderna. Neste ambiente a análise de dados e informações vem se tornando uma atividade cada vez mais necessária nas empresas e para o público geral. Entretanto devido aos volumes de informações disponíveis já enormes e ainda em ritmo crescente conseguir reunir estas informações saber usá-las e analisá-las em tempo hábil vem se tornando um possível entrave e um desafio a ser superado. A emergência do que se convenciona chamar por ciência de dados ilustra bem este fenômeno. Neste cenário a estatística enquanto uma ciência tradicional que serve de instrumento empírico clássico para o avanço das variadas ciências por ser dotada de um conjunto de ferramentas analíticas que vem de encontro a algumas das necessidades que a era do big data prescinde. Os métodos e técnicas utilizados nas várias áreas da ciência estatística envolve processamento de dados e informações o que atualmente é solucionado com o apoio de ferramentas computacionais. Tradicionalmente as ferramentas existentes de fácil manejo e utilização amigável são softwares proprietários de códigos fechados e custos onerosos. Por outro lado consolidam-se ferramentas livres de código aberto de qualidade e sem custo de aquisição tais como a plataforma r (http://www.R-project.Org) aplicativos de escritório como os do libreoffice (http://pt-br.Libreoffice.Org/) sistemas de gerenciamento de banco de dados tais como o postgresql (http://www.Postgresql.Org/) redistribuídos e/ou modificados sob os termos da licença gnu general public license (http://www.Gnu.Org/copyleft/gpl.Html). Entretanto a adoção destas e outras ferramentas livres que trariam vantagens de custos e tecnológicas carecem de uma infraestrutura de difusão e esbarram em resistências culturais. Este projeto contribui para a superação destas barreiras.","Marcelo Rubens Dos Santos Do Amaral"
"APOIO A INSERÇÃO TECNOLÓGICA NA COMUNIDADE DE NOVA FRIBURGO ATRAVÉS DA UDT/LEMEC","Este projeto tem como objetivo cumprir o papel de núcleo de inovação tecnológica com foco nos setores econômicos do município de nova friburgo e região com base na competência científica e tecnológica instalada no laboratório. Um dos principais resultados obtidos com os trabalhos que vêm sendo desenvolvidos na udt/lemec é a percepção do papel que o laboratório exerce como catalisador e indutor de iniciativas articuladas para o desenvolvimento regional através da capacitação de recursos humanos qualificados para atender a modernização das empresas.A região de nova friburgo possui dois fortes arranjos produtivos locais: têxtil/confecção e metal-mecânico. Dentre as atividades desenvolvidas pelo laboratório pode-se destacar os cursos: solidworks arduíno impressora 3d microscópio de força atômica informações de segurança em laboratórios metrologia testes não paramétricos para comparações no projeto de experimentos em inteligência computacional e mineração de dados. Todos os cursos oferecidos têm como público alvo os profissionais que atuam e/ou desejam atuar nos principais setores da região os alunos da rede pública de ensino os alunos de graduação e pós-graduação servidores da uerj e comunidade em geral. A udt/lemec também está implantando o primeiro laboratório da uerj acreditado junto ao inmetro de acordo com a norma abnt 17025. Desta forma o laboratório passa a contribuir com mecanismos significativos para a modernização tecnológica das empresas da região dando suporte também as atividades das disciplinas dos cursos de graduação e pós-graduação e apoiando a difusão e popularização da ciência e tecnologia entre os alunos da rede pública de ensino evidenciando os jovens talentos.","Antonio Jose Da Silva Neto"
"PROJETO E GESTÃO DE OPERAÇÕES DE SAÚDE","Os sistemas de saúde devem ser projetados e geridos para lidar tanto com uma grande variedade de roteiros assistenciais quanto com um grande volume de pacientes a serem atendidos. Trata-se de um caso complexo para as soluções de gestão da produção. Neste contexto o presente projeto procura promover uma maior aproximação entre alunos pesquisadores e docentes da engenharia de produção e as unidades de saúde reconhecendo as mesmas como objeto de projeto e gestão relevante. Assim considera uma preocupação relevante do ponto de vista dos sistemas de produção de bens e serviços (além do impacto social) entender como atender as necessidades da população e obter ganhos de eficiência nos serviços de saúde conciliando diferentes dimensões tais como qualidade confiabilidade velocidade disponibilidade com eficiência nas operações e compatibilidade de custos. Adotando procedimentos de campo que dialoguem com as questões reais das unidades de saúde visa o desenvolvimento de conhecimento que subsidie a formulação de soluções de projeto e gestão que promovam melhorias nas funções assistenciais (fim) administrativas e de formação (meio) para a entrega de saúde de qualidade à população.","Thais Spiegel"
"INOVAÇÃO EM PROJETO E GESTÃO DE OPERAÇÕES","O ambiente das operações passou por mudanças significativas na última década colocando desafios a forma como as operações são percebidas e praticadas. Dois dos mais notáveis desafios decorrem do nível crescente de complexidade e incerteza. Historicamente o foco da área era principalmente em ambientes de produção mas hoje o campo também abrange questões pertinentes à p&d serviços cadeias de suprimentos e varejo. Esta ampliação do objeto com contextos cada vez mais variados colocou desafios adicionais a serem resolvidos pela teoria de operações. Neste contexto insere-se a presente proposta de projeto que visa a investigação e desenvolvimento de soluções inovadoras para os desafios reais de organizações. Como método esta proposta propõe a adoção de forma articulada dos procedimentos de revisão bibliográfica sistemática da literatura; e da condução de pesquisas de campo tanto em forma de estudos de caso como em forma de solução de problemas organizacionais.","Thais Spiegel"
