"nome","resumo","coordenador"
"FOGUETEMODELISMO","A ascensão dos smartphones e das redes sociais facilitou a união de pessoas com perspectivas semelhantes  levando ao aumento de teorias da conspiração  como o terraplanismo. Isso destaca lacunas na educação científica  onde muitos estudantes carecem de experiências práticas  resultando em uma compreensão limitada dos conceitos científicos. A abordagem tradicional da educação científica frequentemente falha em transmitir esses conceitos de forma eficaz. O foguetemodelismo  focado na construção e lançamento de modelos de foguetes  é uma ferramenta pedagógica valiosa que ilustra como ciência e tecnologia são fundamentais na exploração espacial  desmistificando teorias conspiratórias e incentivando a aprendizagem prática. Este projeto reflete a importância da extensão universitária  promovendo uma relação transformadora entre a universidade e a sociedade através de iniciativas práticas e educativas. O projeto começou com uma estudante do ensino médio que teve contato com a equipe gfrj (grupo de foguetes do rio de janeiro) da uerj  mostrando como projetos práticos podem despertar a curiosidade científica. Com o objetivo de fortalecer a educação tecnológica em nova friburgo  propomos implementar iniciativas de foguetemodelismo em nossa instituição e em entidades parceiras  promovendo competições entre alunos e estimulando a participação da comunidade.","Angelo Mondaini Calvão"
"ESCOLA DE INVERNO DO IESP-UERJ","Este projeto apresenta a escola de inverno  o braço de formação intensiva em métodos  conceitos e teorias sociais do instituto de estudos sociais e políticos da uerj  centro de pesquisa pioneiro nas ciências sociais brasileiras. Trata-se de um programa de oferta de cursos de curta duração em metodologia de pesquisa social e de temas substantivos trabalhados por docentes e discentes do iesp-uerj. Por meio dessa iniciativa  buscamos promover e fomentar redes de pesquisa nas ciências sociais  contribuindo para formar pesquisadores no uso de técnicas e conceitos de pesquisa social  mas também para elevar a qualidade da produção e do consumo de pesquisa social para moldar o futuro do campo e do debate público no país.","Fernando Meireles"
"CONECTA U+: A CIÊNCIA DA UNIVERSIDADE CONECTADA COM O MERCADO","O projeto conecta u+ é fruto de pesquisas na área de inovação  onde a equipe identificou uma oportunidade de prestação de serviço de consultoria de base científica  para auxiliar cientistas a transferirem tecnologia da universidade para o mercado  utilizando método inovador na área de gestão da inovação tecnológica. Essa transferência de tecnologia poderá ser realizada por meio da criação de spin offs  empresas nascentes de ideias acadêmicas  que no decorrer do processo  deverão ter apoio dos núcleos de inovação tecnológica-nit das instituições de ciência e tecnologia - icts onde os cientistas atuam  para o cumprimento dos trâmites institucionais previstos nas leis de inovação. O conecta u+ tem como objetivo geral auxiliar cientistas a transferirem tecnologia da universidade para o mercado  oferecendo serviços de consultoria com base científica  que utiliza método inovador na área de gestão da inovação tecnológica. A prestação de serviços proposta nesse projeto conecta as universidades com a sociedade utilizando diversas metodologias de gestão da inovação que induzem de forma eficaz e precisa a transferência de tecnologia da bancada de pesquisa dos cientistas para o mercado  atuando em quatro fases: 1) identificação da oportunidade de negócio; 2) modelagem do negócio (modelagem das estratégias de transferência de tecnologia  desenvolvimento de competências de mercado  elaboração do plano de negócios  entre outras); 3) criação do negócio e 4) acompanhamento do crescimento do negócio (grau de inovação  abordagens de mercado  entre outras). Os resultados esperados com a implementação desse projeto estão previstos nas leis brasileiras de inovação e consistem em todas as atividades de transferência de conhecimento das universidades para o mercado.","Branca Regina c Dos s e s Riscado Terra"
"PROJETO IMPOSTO DE RENDA NA MANGUEIRA","Os alunos egressos do programa de pós-graduação em ciências contábeis - ppgcc  mestrando dos programas de pós-graduação em controladoria e gestão pública-ppgcgp e do programa de mestrado acadêmico para inovação - mai  com os alunos dos cursos de graduação em ciências contábeis e em administração da faculdade de administração e finanças - faf da uerj irão oferecer apoio à comunidade da ""mangueira e arredores"" (bairros próximos)  durante o mês de abril de 2024  através do auxílio na elaboração da declaração anual de imposto de renda  entendida como uma atividade de inserção social da universidade na sociedade. As atividades ocorrerão no laboratório de negócios inovadores - lani  localizado na 8037/1 do bloco f e serão conduzidas pelos discentes citados. O projeto permitirá que as pessoas da comunidade da ""mangueira e arredores"" façam suas declarações de imposto de renda (dirf 2024) de maneira correta e rápida  com auxílio dos contadores  alunos do mestrado e dos alunos da graduação.","Branca Regina c Dos s e s Riscado Terra"
"TOUR TECNOLÓGICO NA UERJ","O presente projeto tem a finalidade de realizar 10 (dez) visitas técnicas em unidades de desenvolvimento tecnológico (udt's) criadas pelo programa qualitec da inovuerj-pr 2 da uerj por alunos dos programas de pós-graduação da faf: controladoria e gestão pública - ppgcgp (gestores públicos do estado do rio de janeiro); ciências contábeis  mestrado acadêmico em inovação - mai e alunos de graduação dos cursos de administração e ciências contábeis da faculdade de administração e finanças - faf da uerj e outras unidades parceiras. O projeto visa que a comunidade da universidade tome conhecimento do potencial de desenvolvimento científico e tecnológico da universidade e identifique oportunidades de parcerias com órgãos do governo do estado do rio de janeiro e empresas  divulgando as potencialidades dos grupos de pesquisa da universidade. Serão realizadas 10 (dez) visitas por ano  as quais permitirão que a sociedade do estado do rio de janeiro tome conhecimento dos produtos científicos e tecnológicos desenvolvidos na uerj. Além disso  o presente projeto objetiva proporcionar o relacionamento do referencial teórico abordado em sala de aula com a prática tecnológica desenvolvida nos ambientes visitados. Serão levantadas as udts da uerj a serem visitadas e será criado um cronograma de visitas em conjunto com os coordenadores das udts. Como resultado  espera-se que sejam geradas parcerias das udts da uerj com diversos órgãos governamentais do estado do rio de janeiro e empresas  promovendo assim a disseminação de conhecimento da universidade para a sociedade  podendo ainda resultar na melhoria da formação de gestores públicos  sugerir melhorias nas políticas públicas e na identificação de oportunidades tecnológicas que poderão ser utilizadas pelas empresas.","Branca Regina c Dos s e s Riscado Terra"
"IMPOSTO DE RENDA É FUNDAMENTAL","Os alunos e os egressos do programa de pós-graduação em ciências contábeis - ppgcc  alunos do programa de pós-graduação em controladoria e gestão pública - ppgcgp e do programa de mestrado acadêmico para inovação - mai  alunos  técnicos e professores dos cursos de graduação em administração e ciências contábeis da faculdade de administração e finanças - faf e do oni da uerj irão divulgar nas escolas da rede pública de ensino fundamental e no instituto de aplicação fernando rodrigues da silveira - cap-uerj  em turmas de ensino fundamental  durante o ano de 2024  através de palestras e material educativo  informações sobre imposto de renda - ir  com destaque para aplicação dos recursos oriundos do ir e para a conscientização sobre educação fiscal. As atividades ocorrerão nas escolas previamente selecionadas e serão conduzidas pela equipe citada. O projeto permitirá que os jovens aprendam a importância do ir assim como a alocação de seus recursos  de maneira educativa. Essa ação está vinculada à estratégia de popularização da ciência  determinada pelos governos brasileiros.","Herika Crhistina Maciel De Oliveira Cost"
"DESENVOLVIMENTO DE PEÇAS E PROTÓTIPOS UTILIZANDO PROTOTIPAGEM 3D VISANDO ATENDER LINHAS DE PRODUÇÃO DE MEDICAMENTOS  PARA A POPULAÇÃO CARENTE DO BRASIL","Atualmente  praticamente  todos os ativos danificados nos laboratórios farmacêuticos oficiais (lfos) precisam passar por processos licitatórios para aquisição de outros para a reposição. Tais processos demandam meses e até mesmo anos para compra desses itens  gerando paradas de máquinas ocasionando atrasos na entrega de medicamentos e  consequentemente  deixando a população de baixa renda desassistida. Com o presente trabalho  com a ajuda da prototipagem rápida aditiva  os alunos irão projetar as peças na uerj e a impressão será realizada na própria fábrica  por seus profissionais com o suporte técnico da equipe do referido projeto. Essa cooperação entre uerj e lfos para desenvolvimento de peças e protótipos objetiva atender aos programas de saúde  articulando o ensino (por capacitação gradual e sistemática nos fatiadores 3d dos profissionais do laboratório) e a pesquisa (no desenvolvimento de peças e protótipos  bem como nas especificações de materiais mediante a análise dos resultados empíricos extraídos de testes na linha de produção de medicamentos) de forma indissociável e viabilizando uma relação transformadora entre a uerj  a indústria farmacêutica e a população carente do brasil.","Paulo Felipe Júnior"
"LABORATÓRIO DE HUMANIDADES DIGITAIS DA UERJ- LAHDUERJ","O laboratório de humanidades digitais da uerj tem por objetivo nuclear professores  pesquisadores  ativistas  desenvolvedores da tecnologia  alunos e bolsistas de modo a dialogar  debater e refletir criticamente sobre dados digitais  métodos digitais e infraestruturas digitais desde a perspectiva das ciências humanas. Ele agrega e é alimentado por projetos já existentes  com vistas a estabelecer parcerias com professores do ile e de outras unidades e universidades. Nosso propósito é a produção e divulgação de conhecimento  e o estabelecimento de redes colaborativas que conectem diferentes modos de mobilizar as tecnologias digitais  na pesquisa  no ensino e na vida social como um todo. O projeto se propõe nuclear as diferentes reflexões e perspectivas críticas sobre as tecnologias digitais na área de letras da uerj  ao mesmo tempo que estabelecer diálogos em eixo transdisciplinar e transnacional  com laboratórios de humanidades digitais no brasil - na ufba  na fgv e na uff - assim como com instituições norte-americanas  como a university of richmond. As atividades incluem uma série de ações e produtos que utilizam ferramentas de programação  com o propósito de entrar em contato e desenvolver dados  métodos e infraestruturas digitais. Promove a criação de um repositório que colecione  armazene e preserve posts de diferentes plataformas digitais. Com esse objetivo  as ações desenvolvidas incluem: 1) atividades que envolvam professores e alunos de diferentes departamentos  unidades e universidades  ativistas e desenvolvedores. 2) promoção e organização de atividades extensionistas e eventos online e presenciais  como mini-cursos  oficinas e palestras 3) coordenação e suporte dessas ações 3) criação de um repositório digital a partir de posts em diferentes mídias sociais 4) criação de um site institucional e de contas em diversas plataformas das redes sociais 5) disponibilização de materiais audiovisuais e textuais  como podcasts e cartilhas digitais.","Alejandra Judith Josiowicz"
"LABSEM - LABORATORIO MULTIDISCIPLINAR DE SEMIOTICA","Projeto multidisciplinar para estudos  pesquisas  produções de identidade visual de eventos e material divulgacional. Funciona como ponto de apoio e recepção de convidados dos eventos articulados ao labsem  uma vez que propicia o acesso à web  sem interferir nas rotinas do ile. Com suporte na semiótica congrega  a princípio  docentes do ile e da ffp (ceh) e da esdi (ctc)  para promoção do diálogo entre áreas e subáreas unidas pelo eixo temático linguagens  códigos e tecnologias de produção da comunicação e do design. Oportunidade de trabalho multidisciplinar para alunos de graduação e pós-graduação. O labsem é articulável com projetos de ic  id  eic  monitoria  extensão  e ped  entre outros  além de alimentar  pela discussão transdisciplinar  outros e variados projetos em desenvolvimento nas unidades envolvidas ou mesmo fora delas. A semiótica é a ciência de base multidisciplinar para o labsem  não só por abrigar diversas correntes teóricas  mas  sobretudo  por ser uma ciência englobante  que acolhe  ao longo de sua história  estudos e pesquisas em múltiplas áreas  especialmente nas que se cruzam neste projeto. O projeto labsem nasceu (por meio de apq1/2008) como resposta a demandas relativas à utilização de espaço e equipamentos. Estão articulados neste laboratório  como elementos primeiros na proposição  organização e realização de atividades  os seguintes projetos: publicações dialogarts (extensão); sepel.Uerj (extensão); entre outros projetos e subprojetos que a estes se vinculem. Pretende-se que o labsem se torne uma matriz de geração de recursos humanos para pesquisa e ensino nas áreas  subáreas e especialidades contempladas no projeto  especialmente preparados para o trabalho em equipe  para as trocas teórico-práticas multidisciplinares  para o entendimento da provisoriedade e da incompletude da ciência  buscando  por fim  atuar em projetos de educação à distância.","Claudia Moura Da Rocha"
"ARQUIVOS DE SABERES LINGUÍSTICOS: ORGANIZAÇÃO  CATALOGAÇÃO  DIGITALIZAÇÃO E ANÁLISE DE OBRAS RARAS","Integrante do laboratório integrado (sala 11032-b) e do laboratório de estudos em gramática & discurso (labgradis-uerj)  este projeto  em desenvolvimento no ile-uerj  conta com o apoio da faperj (processos e-26/211.851/2021 e e-26/211.241/2021) e filia-se ao grupo de pesquisa arquivos de língua (gal-uff). Calcando-se no arcabouço teórico da história das ideias linguísticas  em sua relação com a análise de discurso de base materialista (ad-hil)  objetiva a criação de um arquivo digital e gratuito de obras raras  escassas e especiais: o arquivos de saberes linguísticos (saberling). Relacionado a esse propósito  tendo em vista a especificidade de sua natureza  outros objetivos secundários se impõem  justificando a necessidade de  paralelamente  desenvolver ações que promovam a articulação entre ensino  pesquisa e extensão. Tais ações  como informado no relatório de atividades 2023  foram executas de forma exitosa e continuarão a ser realizadas em 2024. Além disso  no próximo ano  também será disponibilizado on-line o acervo do catálogo de produção intelectual do arquivo said ali  se dará continuidade ao desenvolvimento do arquivo antenor nascentes  do arquivo clóvis monteiro e do arquivo de livros didáticos e  como frutos de parcerias estabelecidas em 2023  pretende-se dar início ao desenvolvimento de 2 outros arquivos  a saber: o arquivo de dicionários no/do brasil e o arquivo júlio ribeiro. Para tanto  a fim de que se viabilize a realização das atividades propostas  pleiteia-se a renovação das 2 bolsas obtidas em 2023 e a concessão de 1 nova bolsa.","Thaís De Araujo Da Costa"
